0.4 1.01555 0.97656 2.6347e-06 4.71838e-06 -1.046e-07 -3.03052e-05 -7.70108e-07 1.96372e-05 -1.52077e-05 -2.66796e-05 4.74744e-05 
0.8 1.03083 0.955828 4.11308e-06 1.88813e-05 -4.48953e-07 -4.26223e-05 2.2111e-06 2.41087e-05 -9.20166e-06 -2.12286e-05 5.2668e-05 
1.2 1.04582 0.937937 5.60939e-06 3.22998e-05 -6.94021e-07 -5.49964e-05 5.39186e-06 2.84872e-05 -3.00989e-06 -1.57665e-05 5.80017e-05 
1.6 1.06041 0.922858 7.11417e-06 4.49786e-05 -8.02283e-07 -6.74085e-05 8.76819e-06 3.27553e-05 3.33251e-06 -1.02951e-05 6.34649e-05 
2 1.07465 0.910647 8.62029e-06 5.68925e-05 -7.37834e-07 -7.98506e-05 1.23195e-05 3.68867e-05 9.81752e-06 -4.81449e-06 6.90308e-05 
2.4 1.08851 0.901349 1.00917e-05 6.80652e-05 -4.55042e-07 -9.22978e-05 1.60404e-05 4.08742e-05 1.63589e-05 6.90558e-07 7.46853e-05 
2.8 1.10196 0.894961 1.15161e-05 7.85315e-05 7.14165e-08 -0.000104728 1.99173e-05 4.46875e-05 2.29473e-05 6.24677e-06 8.03986e-05 
3.2 1.11501 0.89138 1.28818e-05 8.82707e-05 8.87296e-07 -0.000117127 2.39305e-05 4.83196e-05 2.95503e-05 1.18411e-05 8.61576e-05 
3.6 1.12761 0.890573 1.41517e-05 9.73057e-05 2.01985e-06 -0.000129457 2.80611e-05 5.17544e-05 3.61022e-05 1.74823e-05 9.19417e-05 
4 1.13973 0.892476 1.53233e-05 0.000105683 3.49064e-06 -0.00014169 3.23039e-05 5.49621e-05 4.2579e-05 2.32049e-05 9.77217e-05 
4.4 1.1514 0.896886 1.63682e-05 0.000113398 5.33984e-06 -0.000153805 3.66353e-05 5.79418e-05 4.89655e-05 2.89868e-05 0.000103482 
4.8 1.16256 0.903712 1.7273e-05 0.000120486 7.59281e-06 -0.000165786 4.1041e-05 6.07009e-05 5.5215e-05 3.48437e-05 0.000109222 
5.2 1.17326 0.912762 1.80358e-05 0.000126971 1.02622e-05 -0.000177609 4.55105e-05 6.32024e-05 6.13042e-05 4.07972e-05 0.000114901 
5.6 1.18347 0.923868 1.86245e-05 0.000132875 1.33513e-05 -0.000189232 5.00164e-05 6.54439e-05 6.72238e-05 4.68448e-05 0.000120515 
6 1.19314 0.936821 1.90398e-05 0.000138215 1.6882e-05 -0.000200646 5.45765e-05 6.74267e-05 7.29363e-05 5.2996e-05 0.000126043 
6.4 1.20228 0.951382 1.92782e-05 0.00014301 2.08565e-05 -0.000211841 5.91531e-05 6.91305e-05 7.84471e-05 5.92496e-05 0.000131467 
6.8 1.21093 0.967303 1.93199e-05 0.000147298 2.52502e-05 -0.000222782 6.37115e-05 7.0571e-05 8.37515e-05 6.55971e-05 0.000136791 
7.2 1.21904 0.984348 1.91812e-05 0.000151094 3.00767e-05 -0.000233462 6.82782e-05 7.17443e-05 8.88075e-05 7.20494e-05 0.000141996 
7.6 1.22663 1.00224 1.88425e-05 0.000154414 3.53224e-05 -0.00024387 7.2831e-05 7.26299e-05 9.36484e-05 7.86112e-05 0.000147078 
8 1.23372 1.02075 1.83127e-05 0.000157275 4.09519e-05 -0.000253992 7.7355e-05 7.3257e-05 9.82915e-05 8.52667e-05 0.000152026 
8.4 1.24027 1.03958 1.76004e-05 0.000159691 4.69431e-05 -0.000263828 8.18404e-05 7.36315e-05 0.000102695 9.20159e-05 0.000156836 
8.8 1.24632 1.0584 1.66924e-05 0.000161685 5.32701e-05 -0.00027337 8.62844e-05 7.37327e-05 0.000106905 9.88488e-05 0.000161508 
9.2 1.25187 1.07702 1.56214e-05 0.000163275 5.98882e-05 -0.000282609 9.06779e-05 7.35906e-05 0.00011094 0.000105754 0.00016604 
9.6 1.25692 1.09555 1.43795e-05 0.000164448 6.67704e-05 -0.000291572 9.49973e-05 7.32145e-05 0.000114799 0.000112732 0.000170433 
10 1.2615 1.11361 1.29708e-05 0.000165233 7.38716e-05 -0.000300241 9.92348e-05 7.25981e-05 0.000118516 0.00011976 0.00017469 
10.4 1.26559 1.13071 1.14292e-05 0.00016565 8.11329e-05 -0.000308619 0.000103377 7.17658e-05 0.000122108 0.000126833 0.000178804 
10.8 1.26923 1.1465 9.75572e-06 0.000165699 8.85267e-05 -0.000316723 0.000107415 7.07434e-05 0.0001256 0.00013394 0.000182782 
11.2 1.27243 1.16077 7.94756e-06 0.000165386 9.59926e-05 -0.000324552 0.000111334 6.95284e-05 0.000129003 0.000141068 0.000186617 
11.6 1.2752 1.17329 6.03483e-06 0.000164736 0.000103464 -0.000332128 0.000115108 6.81369e-05 0.000132349 0.000148212 0.000190323 
12 1.27759 1.1838 4.01448e-06 0.00016377 0.000110902 -0.000339454 0.000118729 6.65977e-05 0.000135669 0.000155345 0.000193929 
12.4 1.27961 1.19218 1.91287e-06 0.000162487 0.000118264 -0.000346552 0.000122157 6.49185e-05 0.00013898 0.00016247 0.000197387 
12.8 1.28127 1.19814 -2.55148e-07 0.00016091 0.000125487 -0.00035341 0.000125365 6.31156e-05 0.000142299 0.000169562 0.000200706 
13.2 1.28259 1.2016 -2.49013e-06 0.000159053 0.000132505 -0.000360042 0.000128344 6.1213e-05 0.00014564 0.000176618 0.000203932 
13.6 1.28361 1.20234 -4.77707e-06 0.000156945 0.000139281 -0.000366457 0.000131044 5.92156e-05 0.000149033 0.000183638 0.000207038 
