0   0.853219   7.15708   27.9554   56.9803   7.05408
0.4   0.85319   7.15169   27.9218   57.0727   7.00062
0.8   0.860027   7.15316   27.9191   57.069   6.99866
1.2   0.887538   7.15181   27.8845   57.1132   6.96297
1.6   0.87897   7.17425   27.873   57.0558   7.01803
2   0.870312   7.21998   27.8689   56.9994   7.04146
2.4   0.870267   7.21618   27.9292   56.9536   7.03079
2.8   0.8737   7.22991   27.8194   57.0428   7.03423
3.2   0.880566   7.22476   27.84   57.0136   7.04109
3.6   0.866759   7.2619   27.7964   57.031   7.04392
4   0.853116   7.24548   27.861   56.9992   7.04121
4.4   0.841115   7.25076   27.889   57.0001   7.01902
4.8   0.841115   7.25934   27.925   56.9572   7.0173
5.2   0.82734   7.28299   27.915   56.9594   7.01523
5.6   0.841115   7.27479   27.9199   56.9486   7.01559
6   0.839384   7.23862   27.9297   56.9511   7.04121
6.4   0.830887   7.22734   27.9463   56.9518   7.04366
6.8   0.83093   7.2157   27.9786   56.9238   7.05089
7.2   0.83608   7.24832   27.9134   56.953   7.04917
7.6   0.844621   7.18614   27.9497   56.9964   7.02306
8   0.823992   7.18761   27.8818   57.058   7.04856
8.4   0.823978   7.19264   27.9054   57.0364   7.04158
8.8   0.825694   7.20122   27.9071   57.0416   7.02441
9.2   0.823935   7.21802   27.8559   57.085   7.01718
9.6   0.827354   7.21618   27.8709   57.0943   6.99131
10   0.820502   7.21973   27.8267   57.1451   6.988
10.4   0.834249   7.22501   27.7791   57.1941   6.96752
10.8   0.84625   7.18884   27.7357   57.2549   6.97427
11.2   0.875401   7.19545   27.7725   57.2083   6.94828
11.6   0.865147   7.24732   27.7431   57.2233   6.92118
12   0.877148   7.30899   27.7083   57.1863   6.91934
12.4   0.871998   7.32101   27.7615   57.1056   6.93994
12.8   0.872028   7.29036   27.7264   57.1968   6.91443
13.2   0.873625   7.3357   27.6934   57.1735   6.92378
13.6   0.866759   7.31511   27.7329   57.1426   6.94266
14   0.865073   7.32051   27.7956   57.1188   6.89998
14.4   0.871878   7.39724   27.6495   57.2093   6.87205
14.8   0.854774   7.37543   27.6755   57.2321   6.86222
15.2   0.861655   7.35839   27.6639   57.2485   6.86749
15.6   0.863356   7.32051   27.6257   57.3145   6.87595
16   0.863416   7.35877   27.6276   57.2601   6.89016
16.4   0.859938   7.38071   27.597   57.2812   6.88122
16.8   0.849683   7.3725   27.6482   57.2738   6.85583
17.2   0.847938   7.39285   27.6833   57.2409   6.835
17.6   0.844534   7.37422   27.6859   57.2481   6.84725
