time (ps)	KF /4M	time (ps)	KF /3M	time (ps)	KF /2M	time (ps)	KF /1M
-4.7079769	2.77018106727273E-5	-9.817	2.47765319999977E-6	-4.775	2.36517499166667E-4	-9.91300000000001	5.01562285714279E-5
-4.6833026	7.02292047525818E-5	-9.79199999999999	1.75164660000002E-5	-4.75	1.7084429956E-4	-9.888	9.15259428571426E-5
-4.6586283	-7.39455844987017E-7	-9.767	-6.69112884000002E-5	-4.725	1.71829983442857E-4	-9.86300000000001	5.37486857142858E-5
-4.6339539	-9.74930819601039E-5	-9.742	6.16731984000008E-5	-4.7	1.11587910395238E-4	-9.838	-2.74860114285714E-4
-4.6092796	-1.56500224418182E-4	-9.717	4.3545743999993E-6	-4.675	7.61533336142857E-5	-9.81300000000001	9.15511999999993E-5
-4.5846053	-1.26733263852468E-4	-9.692	-1.09873882799999E-4	-4.65	5.25983752380955E-7	-9.78800000000001	-2.99919657142858E-4
-4.559931	-3.87559405558442E-5	-9.66699999999999	-2.82959424000007E-5	-4.625	-6.39714629714286E-5	-9.763	1.35052914285713E-4
-4.5352566	5.59023829807792E-5	-9.642	3.86900711999995E-5	-4.6	-4.73813513904762E-5	-9.73800000000001	-8.92320000000036E-6
-4.5105823	1.8886245302961E-4	-9.617	1.606108284E-4	-4.575	-4.47823600190476E-5	-9.713	-1.37811885714286E-4
-4.485908	2.40084826669091E-4	-9.59199999999999	4.12702883999999E-5	-4.55	-1.10229787119048E-4	-9.688	9.39372571428557E-5
-4.4612337	2.63576699186493E-4	-9.567	-4.31779787999998E-5	-4.525	-1.64998173214286E-4	-9.66300000000001	-1.00267885714286E-4
-4.4365594	2.43394943661818E-4	-9.54199999999999	3.73787171999997E-5	-4.5	-2.31450879261905E-4	-9.638	-6.61959999999999E-5
-4.411885	1.55861962012052E-4	-9.51699999999999	-1.13944208399999E-4	-4.475	-2.81602317857143E-4	-9.613	-4.13147428571439E-5
-4.3872107	6.35136294704415E-5	-9.492	4.12790796000004E-5	-4.45	-2.75805591285714E-4	-9.588	-4.1317714285715E-5
-4.3625364	7.98434811428562E-7	-9.46699999999999	-9.73053971999996E-5	-4.425	-2.19627398047619E-4	-9.563	-1.31225714285715E-4
-4.3378621	-3.89125839403636E-5	-9.442	1.70427668400001E-4	-4.4	-2.244729465E-4	-9.53800000000001	1.86296685714285E-4
-4.3131877	-6.54853638638961E-5	-9.41699999999999	-1.237522572E-4	-4.375	-1.9796060297619E-4	-9.513	-8.25046857142864E-5
-4.2885134	-4.09428530465454E-5	-9.39199999999999	-1.189039104E-4	-4.35	-1.83835325038095E-4	-9.488	5.82489142857142E-5
-4.2638391	-8.65576782882078E-5	-9.367	-8.14651199999991E-6	-4.325	-1.65096996009524E-4	-9.463	-6.21994285714277E-5
-4.2391648	-1.28545801445922E-4	-9.34199999999999	-1.300848516E-4	-4.3	-1.31556841271429E-4	-9.438	4.68609142857136E-5
-4.2144905	-1.99841800129247E-4	-9.31700000000001	-9.87090588000004E-5	-4.275	-1.19133438861905E-4	-9.41300000000002	-1.39108914285715E-4
-4.1898161	-1.92259511064935E-4	-9.29199999999999	3.39823836000005E-5	-4.25	-1.42226069019048E-4	-9.388	7.84590857142857E-5
-4.1651418	-1.83103772362597E-4	-9.26699999999999	9.29903831999998E-5	-4.225	-1.26295813966667E-4	-9.363	1.17569028571428E-4
-4.1404675	-1.64723550885195E-4	-9.24200000000001	-1.36615247999999E-4	-4.2	-1.15880294095238E-4	-9.33800000000002	1.09942857142849E-6
-4.1157932	-1.25852539210909E-4	-9.21699999999999	-2.20849596E-5	-4.175	-1.29254841047619E-4	-9.313	1.68910857142854E-5
-4.0911188	-9.13873453667532E-5	-9.19199999999998	1.49459191200001E-4	-4.15	-9.40150459285714E-5	-9.28799999999999	-6.01164571428573E-5
-4.0664445	-1.1693979990639E-4	-9.16700000000001	-1.09196960399999E-4	-4.125	-1.17895449309524E-4	-9.26300000000002	-6.45988571428627E-6
-4.0417702	-1.30872637066286E-4	-9.14199999999999	5.21098380000006E-5	-4.1	-1.38762566904762E-4	-9.238	-7.35220571428579E-5
-4.0170959	-1.15033453765403E-4	-9.11699999999998	-2.20541903999997E-5	-4.075	-1.44461784238095E-4	-9.21299999999999	-1.16708800000001E-4
-3.9924216	-1.76117271286753E-4	-9.092	-4.93669835999994E-5	-4.05	-1.27012653428571E-4	-9.18800000000001	1.47911771428571E-4
-3.9677472	-1.93469536219948E-4	-9.06699999999998	-4.46680871999996E-5	-4.025	-1.53034283128571E-4	-9.16299999999999	-2.7063771428571E-5
-3.9430729	-2.07348112113039E-4	-9.04200000000001	1.73933892000002E-5	-4	-1.4443105657619E-4	-9.13800000000002	1.19968457142856E-4
-3.9183986	-1.53729250400727E-4	-9.017	6.13728324E-5	-3.975	-1.6907496372381E-4	-9.11300000000001	2.8019085714285E-5
-3.8937243	-1.4352082343626E-4	-8.99199999999998	1.267192872E-4	-3.95	-2.11901609333333E-4	-9.08799999999999	9.1989485714285E-5
-3.8690499	-1.04472852807273E-4	-8.967	2.93919119999996E-5	-3.925	-2.75574808666667E-4	-9.06300000000001	-2.02874285714286E-4
-3.8443756	-7.86477399422338E-5	-8.942	1.166870628E-4	-3.9	-2.88555259142857E-4	-9.03800000000001	-1.08737942857143E-4
-3.8197013	-7.96792753003636E-5	-8.91700000000001	-3.18974039999999E-5	-3.875	-2.670961755E-4	-9.01300000000002	-7.51622857142981E-6
-3.795027	-8.31322474073766E-5	-8.892	-1.007193132E-4	-3.85	-2.20209595257143E-4	-8.98800000000001	6.26897142857131E-5
-3.7703527	-4.8198371865974E-5	-8.867	-1.30432103999999E-4	-3.825	-1.48642576604762E-4	-8.963	-1.51513142857148E-5
-3.7456783	-5.65840723592727E-5	-8.842	8.11149372000005E-5	-3.8	-1.052612825E-4	-8.93800000000001	6.76371428571419E-5
-3.721004	-8.58765083507532E-5	-8.817	2.11135319999941E-6	-3.775	-1.02453348014286E-4	-8.91300000000001	-1.17750285714286E-4
-3.6963297	-8.73483696077922E-5	-8.79199999999999	2.35604159999999E-5	-3.75	-1.50748985409524E-4	-8.888	-2.83905142857153E-5
-3.6716554	-1.02422440657247E-4	-8.767	-1.42944911999999E-4	-3.725	-1.92252487952381E-4	-8.86300000000001	1.91472914285714E-4
-3.646981	-9.45216046326234E-5	-8.742	-5.09523299999999E-5	-3.7	-2.26744640833333E-4	-8.838	1.13627428571414E-5
-3.6223067	-4.4935229904E-5	-8.71699999999999	-1.139207652E-4	-3.675	-2.28317196380952E-4	-8.813	-5.44618285714283E-5
-3.5976324	2.2881993197922E-6	-8.692	-1.40937587999997E-5	-3.65	-2.04822868380952E-4	-8.78800000000001	3.18314285714277E-5
-3.5729581	7.65142676290909E-5	-8.66699999999999	-9.88409268000009E-5	-3.625	-1.68893722014286E-4	-8.763	7.48621714285704E-5
-3.5482838	9.5276368771013E-5	-8.642	-1.55484093600001E-4	-3.6	-1.48428481090476E-4	-8.73800000000001	9.04814857142862E-5
-3.5236094	9.69312963476883E-5	-8.617	-1.57372736400001E-4	-3.575	-1.1101765232381E-4	-8.713	2.42617142857132E-5
