time (ps)	KF /4M	time (ps)	KF /3M	time (ps)	KF /2M	time (ps)	KF /1M
-3.4989351	8.31383873609766E-5	-8.59199999999999	-4.42651571999994E-5	-3.55	-1.16902859857143E-4	-8.688	4.85724571428563E-5
-3.4742608	2.10621181402286E-5	-8.567	-4.41669888000003E-5	-3.525	-1.74066538642857E-4	-8.66300000000001	2.83720914285713E-4
-3.4495865	-2.27106527589195E-5	-8.54199999999999	-2.95066371599999E-4	-3.5	-1.94103890095238E-4	-8.638	1.41169599999999E-4
-3.4249121	-3.5828260149974E-5	-8.517	-7.37654940000004E-5	-3.475	-2.03318289428571E-4	-8.61300000000001	-9.2442628571429E-5
-3.4002378	-1.82029871033766E-5	-8.492	-2.43636386399999E-4	-3.45	-2.23112140690476E-4	-8.588	-6.53639999999997E-5
-3.3755635	-1.33649135875325E-5	-8.46699999999999	-1.161405432E-4	-3.425	-2.08290056071429E-4	-8.563	2.9497371428571E-5
-3.3508892	-2.05267237346493E-5	-8.442	-6.36321707999991E-5	-3.4	-2.29110944071429E-4	-8.53800000000001	1.85374057142857E-4
-3.3262149	-4.7246848406026E-5	-8.41699999999999	-1.02118579199999E-4	-3.375	-2.59679505642857E-4	-8.513	1.40055314285713E-4
-3.3015405	-6.93831046958961E-5	-8.39199999999999	2.62856880000002E-5	-3.35	-2.15656891738095E-4	-8.488	3.22355428571419E-5
-3.2768662	-1.3525004044426E-4	-8.367	-2.54314763999987E-5	-3.325	-1.43211812595238E-4	-8.463	1.06730742857142E-4
-3.2521919	-7.65810741674805E-5	-8.34199999999999	-8.09816039999995E-6	-3.3	-9.08448931761905E-5	-8.438	3.08493714285707E-5
-3.2275176	1.32634700914286E-5	-8.31699999999998	1.272804588E-4	-3.275	-8.77664229095238E-5	-8.41299999999999	1.358136E-4
-3.2028432	-2.7619359038961E-5	-8.29199999999999	-5.90329080000002E-6	-3.25	-1.60269373890476E-4	-8.388	3.28937142857148E-5
-3.1781689	-5.47244560394805E-5	-8.26699999999999	8.55207936000007E-5	-3.225	-2.68275943571429E-4	-8.363	1.18307428571428E-4
-3.1534946	-6.79624064228571E-5	-8.24200000000001	1.37218910400001E-4	-3.2	-3.41088049238095E-4	-8.33800000000002	1.53266285714285E-4
-3.1288203	-1.00932796474286E-4	-8.21699999999999	3.34988676000008E-5	-3.175	-3.13168999E-4	-8.313	1.95503657142857E-4
-3.104146	-1.35945797750026E-4	-8.19199999999998	6.31296072000005E-5	-3.15	-2.63224088023809E-4	-8.28799999999999	2.642432E-4
-3.0794716	-9.84690947856623E-5	-8.16700000000001	-1.26399873599999E-4	-3.125	-1.94627349190476E-4	-8.26300000000002	7.39113142857137E-5
-3.0547973	-1.24136357191792E-4	-8.14199999999999	-7.42797792000004E-5	-3.1	-1.59671646880952E-4	-8.238	9.27828571428474E-6
-3.030123	-1.59171649775688E-4	-8.11700000000001	1.62417420000014E-5	-3.075	-1.44311625071429E-4	-8.21300000000002	1.3156E-4
-3.0054487	-1.98939505778805E-4	-8.092	-1.56478964400001E-4	-3.05	-1.80884646957143E-4	-8.18800000000001	-6.61781714285717E-5
-2.9807743	-1.43831597240727E-4	-8.06699999999998	-2.04776351999996E-5	-3.025	-1.694054978E-4	-8.16299999999999	4.19209142857133E-5
-2.9561	-1.49885450856E-4	-8.04200000000001	3.71193768000002E-5	-3	-2.02555251433333E-4	-8.13800000000002	-1.32481142857152E-5
-2.9314257	-1.5576457005974E-4	-8.017	7.63295940000004E-5	-2.975	-2.05680137404762E-4	-8.11300000000001	1.71807999999993E-5
-2.9067514	-1.34903633016623E-4	-7.99199999999998	7.07764860000003E-5	-2.95	-2.21857449680952E-4	-8.08799999999999	2.14011199999999E-4
-2.8820771	-8.35070909251948E-5	-7.967	2.03882579999997E-5	-2.925	-2.52817975352381E-4	-8.06300000000001	-2.02648457142858E-4
-2.8574027	-7.89997762519169E-5	-7.942	-1.528394076E-4	-2.9	-2.68940846585714E-4	-8.03800000000001	5.38734857142846E-5
-2.8327284	-4.72247519877818E-5	-7.91699999999998	-3.35838492000006E-5	-2.875	-2.46677855547619E-4	-8.01299999999999	-1.17475428571437E-5
-2.8080541	-4.99820503972052E-5	-7.892	1.314372312E-4	-2.85	-2.45416274452381E-4	-7.98800000000001	1.09029142857142E-4
-2.7833798	-6.21344251042909E-5	-7.86699999999999	-9.61742628000002E-5	-2.825	-2.30725543714286E-4	-7.963	7.33779428571421E-5
-2.7587054	-1.38535573181891E-4	-7.842	1.00591840800001E-4	-2.8	-2.04474685904762E-4	-7.93800000000001	-4.91994285714302E-5
-2.7340311	-2.42616757882036E-4	-7.817	2.38637124000004E-5	-2.775	-2.11117058166667E-4	-7.91300000000001	2.7288114285713E-5
-2.7093568	-2.91671775774047E-4	-7.79199999999999	-8.65566899999994E-5	-2.75	-2.31760249285714E-4	-7.888	-9.91432000000006E-5
-2.6846825	-2.58901641485922E-4	-7.767	1.083603312E-4	-2.725	-2.32865397285714E-4	-7.86300000000001	-1.17772571428578E-5
-2.6600082	-2.68431803177143E-4	-7.74199999999999	3.13713971999997E-5	-2.7	-1.88304883119048E-4	-7.838	6.24460571428566E-5
-2.6353338	-1.88686555949797E-4	-7.717	-4.72307220000004E-5	-2.675	-1.57393465009524E-4	-7.81300000000001	1.11121028571427E-4
-2.6106595	-1.3252844283926E-4	-7.692	-1.028482488E-4	-2.65	-1.56094028671429E-4	-7.78800000000001	4.12879999999945E-6
-2.5859852	-9.09694846622587E-5	-7.66699999999999	3.40966692000001E-5	-2.625	-1.65181405033333E-4	-7.763	4.82886857142848E-5
-2.5613109	1.25950366902982E-5	-7.642	6.03076320000002E-5	-2.6	-1.40239321880952E-4	-7.73800000000001	6.16021714285718E-5
-2.5366365	1.02964134088021E-4	-7.61699999999999	-3.12219467999996E-5	-2.575	-1.45563004714286E-4	-7.713	8.42711999999987E-5
-2.5119622	5.30046453490909E-5	-7.59199999999999	7.86695184000002E-5	-2.55	-1.49323360738095E-4	-7.688	1.99174857142852E-5
-2.4872879	1.34411449309091E-5	-7.567	7.06475484000008E-5	-2.525	-1.58377771357143E-4	-7.66300000000001	1.26802742857143E-4
-2.4626136	-9.17222128563117E-5	-7.54199999999999	-7.78797756000003E-5	-2.5	-1.91693450404762E-4	-7.638	2.55915771428571E-4
-2.4379393	-1.81382861439584E-4	-7.51699999999999	-4.02783479999972E-6	-2.475	-2.52329323714286E-4	-7.613	2.10090399999999E-4
-2.4132649	-1.66859124944104E-4	-7.49199999999999	3.28058279999996E-5	-2.45	-2.46716841380952E-4	-7.588	-6.19795428571431E-5
-2.3885906	-1.67394369928519E-4	-7.46699999999999	6.73698959999964E-6	-2.425	-1.84227965690476E-4	-7.563	-5.24977142857144E-5
-2.3639163	-1.66114692449455E-4	-7.442	-2.55765311999999E-5	-2.4	-1.10357581714286E-4	-7.53800000000001	-2.70190514285715E-4
-2.339242	-4.49675995561558E-5	-7.41699999999999	-5.63120316000001E-5	-2.375	-6.86130461238095E-5	-7.513	-4.53365714285728E-5
-2.3145676	1.41207632228572E-6	-7.39199999999999	2.31911855999998E-5	-2.35	-3.70943910857143E-5	-7.488	1.49581714285718E-5
-2.2898933	4.47538545126234E-5	-7.36699999999999	2.79032688000001E-4	-2.325	-2.51125752952381E-5	-7.463	8.44613714285706E-5
-2.265219	1.05226011205091E-4	-7.34199999999999	-3.06212147999994E-5	-2.3	-9.82385622428571E-5	-7.438	2.94752342857143E-4
-2.2405447	2.92807606391688E-5	-7.31700000000001	-3.32453879999996E-5	-2.275	-1.516713715E-4	-7.41300000000002	8.01409142857144E-5
-2.2158704	-1.68571718229195E-4	-7.29199999999999	-1.117845036E-4	-2.25	-1.92493014371429E-4	-7.388	-1.34461600000001E-4
-2.191196	-3.45988720276364E-4	-7.26699999999999	-5.64145956000007E-5	-2.225	-2.29236084785714E-4	-7.363	4.60734857142845E-5
-2.1665217	-4.21584194624416E-4	-7.24199999999999	-4.97757744000003E-5	-2.2	-2.55720973880952E-4	-7.338	1.43623999999999E-4
-2.1418474	-4.38063047766234E-4	-7.21699999999999	2.26637136000004E-5	-2.175	-1.99459813142857E-4	-7.313	1.09051428571425E-5
-2.1171731	-3.39780859873247E-4	-7.19199999999998	-5.24834639999908E-6	-2.15	-1.43120725261905E-4	-7.28799999999999	-4.73408000000018E-5
-2.0924987	-2.53671242692987E-4	-7.16700000000001	1.60029144E-5	-2.125	-6.36801013095238E-5	-7.26300000000002	-1.32851085714286E-4
-2.0678244	-1.01118916725195E-4	-7.14199999999999	-7.72219007999997E-5	-2.1	-2.21958510714286E-5	-7.238	3.66243428571436E-5
-2.0431501	-7.72738182015585E-5	-7.11699999999998	-3.74915376E-5	-2.075	6.42405604761905E-6	-7.21299999999999	1.2239314285714E-5
-2.0184758	-1.75837841703896E-5	-7.09199999999999	5.27003136000012E-5	-2.05	1.90943827380952E-5	-7.188	-5.79473142857145E-5
-1.9938015	9.32424659532466E-6	-7.06699999999998	-1.09933955999998E-5	-2.025	1.81646766190476E-5	-7.16299999999999	-3.09166742857143E-4
-1.9691271	-9.00864457676883E-5	-7.04200000000001	4.64937263999994E-5	-2	-2.49056446047619E-5	-7.13800000000002	1.36639657142857E-4
-1.9444528	-2.24150898414234E-4	-7.017	1.71618876000013E-5	-1.975	-7.62821887666667E-5	-7.11300000000001	8.5572685714285E-5
-1.9197785	-1.79936707794701E-4	-6.99200000000001	6.53889455999995E-5	-1.95	-1.29073280128571E-4	-7.08800000000002	-1.52097028571429E-4
-1.8951042	-1.51256064868052E-4	-6.967	3.41684640000004E-5	-1.925	-1.50571954866667E-4	-7.06300000000001	8.78740571428564E-5
-1.8704298	-6.71092302950649E-5	-6.94199999999998	1.5589728000004E-6	-1.9	-1.23247741466667E-4	-7.03799999999999	-2.79804571428575E-5
-1.8457555	1.70729358997403E-5	-6.91700000000001	-5.61801635999996E-5	-1.875	-1.01767007938095E-4	-7.01300000000002	-2.11298285714286E-4
-1.8210812	9.10696604602597E-5	-6.892	-1.217009772E-4	-1.85	-4.10599249238095E-5	-6.98800000000001	-9.89827428571429E-5
-1.7964069	1.4659116057039E-4	-6.86699999999999	-2.78270783999997E-5	-1.825	-2.98142904714286E-5	-6.963	-2.54146285714289E-5
-1.7717326	1.62732575888416E-4	-6.842	1.84865749200001E-4	-1.8	-8.31094086428571E-5	-6.93800000000001	2.74366857142862E-5
-1.7470582	7.81820927052467E-5	-6.817	-8.77713408000006E-5	-1.775	-1.31368674642857E-4	-6.91300000000001	7.42277714285706E-5
-1.7223839	5.9167481289974E-5	-6.79199999999998	-1.62783719999999E-5	-1.75	-1.30419805738095E-4	-6.88799999999999	1.39759657142857E-4
-1.6977096	1.6619164824935E-5	-6.767	8.26812359999995E-5	-1.725	-1.98907948642857E-4	-6.86300000000001	8.67924571428561E-5
-1.6730353	-1.95921679542857E-5	-6.74199999999999	7.51838075999998E-5	-1.7	-1.97864235119048E-4	-6.838	2.80695999999998E-5
-1.6483609	3.47251127657143E-5	-6.717	2.04395400000006E-5	-1.675	-1.80106302095238E-4	-6.81300000000001	1.78912685714285E-4
-1.6236866	9.11749888488312E-5	-6.692	4.17201048000008E-5	-1.65	-1.49529405404762E-4	-6.78800000000001	-1.51958857142859E-5
-1.5990123	8.46856459792208E-5	-6.66699999999999	1.470562632E-4	-1.625	-1.55623838071429E-4	-6.763	-9.49148571428579E-5
-1.574338	1.00993772399377E-4	-6.642	4.85874972000005E-5	-1.6	-1.0866589852381E-4	-6.73800000000001	9.29908571428539E-6
-1.5496637	1.20712035853714E-4	-6.61699999999999	2.88087624000002E-5	-1.575	-9.58554331428571E-5	-6.713	-1.50039314285715E-4
-1.5249893	3.71498633911169E-5	-6.592	5.76995760000005E-5	-1.55	-1.25579631047619E-4	-6.68800000000001	4.80257142857139E-5
-1.500315	-3.50256590393766E-5	-6.567	1.057771836E-4	-1.525	-1.83175052238095E-4	-6.66300000000001	9.46340571428575E-5
-1.4756407	-5.8622088585039E-5	-6.54199999999999	1.13613073200001E-4	-1.5	-1.89678215833333E-4	-6.638	6.32483428571415E-5
-1.4509664	-3.55988552914286E-5	-6.517	9.71837856000001E-5	-1.475	-1.80129287380952E-4	-6.61300000000001	1.59472114285714E-4
-1.426292	2.46076350794805E-6	-6.49199999999999	5.12541611999999E-5	-1.45	-1.80676785928571E-4	-6.588	3.92154285714276E-5
-1.4016177	4.23285017304935E-5	-6.46699999999999	5.2949397600001E-5	-1.425	-1.63123764833333E-4	-6.563	-9.5498742857143E-5
-1.3769434	3.33265194537662E-5	-6.442	3.04452442800001E-4	-1.4	-1.66122657380952E-4	-6.53800000000001	-1.21907314285715E-4
-1.3522691	-2.2907400734961E-5	-6.41699999999999	9.25259148000003E-5	-1.375	-1.294369725E-4	-6.513	-1.28286971428572E-4
-1.3275948	-7.03277682916364E-5	-6.39199999999999	-8.84101679999998E-5	-1.35	-1.26158237071429E-4	-6.488	-5.64096000000003E-5
-1.3029204	-7.63556267080519E-5	-6.36699999999999	-1.53683362799999E-4	-1.325	-1.34779179595238E-4	-6.463	1.73694857142857E-4
-1.2782461	-4.60072773612468E-5	-6.34199999999999	-1.46288498399999E-4	-1.3	-1.460181745E-4	-6.438	-1.17505142857143E-4
-1.2535718	3.44985878995325E-5	-6.317	-1.39136857199999E-4	-1.275	-1.57292403295238E-4	-6.41300000000001	1.54291428571427E-4
-1.2288975	6.35102502865714E-5	-6.29199999999999	-9.75442247999997E-5	-1.25	-1.89493782552381E-4	-6.388	6.08979428571415E-5
-1.2042231	5.53279422789818E-5	-6.26699999999999	-6.09640416000004E-5	-1.225	-2.06012653366667E-4	-6.363	7.81292571428568E-5
-1.1795488	1.18927499395621E-4	-6.24199999999999	-7.32980951999998E-5	-1.2	-2.30653452857143E-4	-6.338	-1.9308342857143E-4
-1.1548745	1.19883616414254E-4	-6.21699999999999	-5.93933471999998E-5	-1.175	-2.84102309595238E-4	-6.313	3.24688E-5
-1.1302002	7.17339028328572E-5	-6.19200000000001	-1.284702012E-4	-1.15	-2.65800505404762E-4	-6.28800000000002	1.80141371428571E-4
-1.1055259	1.46782518732467E-5	-6.16699999999999	-2.180100384E-4	-1.125	-2.19101327709524E-4	-6.263	-4.32833142857139E-5
-1.0808515	-4.57093699636361E-6	-6.14199999999999	1.43193996000004E-5	-1.1	-1.52125605866667E-4	-6.238	3.15342857142853E-5
-1.0561772	-8.32896252327273E-5	-6.11700000000001	1.49136847200001E-4	-1.075	-1.15287334328571E-4	-6.21300000000002	7.3181828571428E-5
-1.03150289	-7.8197212612987E-5	-6.09199999999999	6.96849120000005E-5	-1.05	-1.07789816304762E-4	-6.188	1.25976685714286E-4
-1.00682857	-1.17933797174026E-5	-6.06699999999998	-4.01274324000004E-5	-1.025	-1.70900739795238E-4	-6.16299999999999	-2.84068571428534E-6
-0.98215424	-1.95951606794805E-5	-6.04200000000001	-4.31618615999994E-5	-1	-1.66667184042857E-4	-6.13800000000002	-1.23537142857144E-5
-0.95747992	-8.7678963811948E-5	-6.01699999999999	-1.112980572E-4	-0.975	-1.59560132338095E-4	-6.113	6.81853714285706E-5
-0.9328056	-1.10573917352727E-4	-5.99199999999998	1.48629888000001E-4	-0.95	-1.34630567788095E-4	-6.08799999999999	1.62433142857142E-4
-0.90813128	-7.31857581537662E-5	-5.967	1.16826256800001E-4	-0.925	-8.80821797166667E-5	-6.06300000000001	-1.36349942857143E-4
-0.88345696	-6.07899067698701E-5	-5.94199999999998	-4.79999519999869E-6	-0.9	-2.90757855142857E-5	-6.03799999999999	-1.71708457142858E-4
-0.85878263	-3.03219100226494E-5	-5.91700000000001	6.01699032000003E-5	-0.875	-2.44907555619048E-5	-6.01300000000002	-1.60917714285717E-5
-0.83410831	3.35627658451948E-6	-5.892	-3.34871459999994E-5	-0.85	2.62538714533333E-5	-5.98800000000001	2.45796571428563E-5
-0.80943399	-1.3585364203948E-5	-5.86699999999998	-4.95325511999999E-5	-0.825	6.72047807933333E-5	-5.96299999999999	-5.5782628571429E-5
-0.78475967	-3.83220655175065E-5	-5.842	4.35618611999998E-5	-0.8	1.10271845289048E-4	-5.93800000000001	1.63993142857138E-5
-0.76008534	4.59168896443636E-5	-5.817	-2.05362431999999E-4	-0.775	1.31509078092857E-4	-5.91300000000001	-1.59968342857143E-4
-0.73541102	8.21018751734026E-5	-5.79200000000001	-1.05618942000001E-4	-0.75	1.3068155047619E-4	-5.88800000000002	-2.58202285714293E-5
-0.7107367	8.30524069761039E-5	-5.767	4.13787132000013E-5	-0.725	9.52278912619047E-5	-5.86300000000001	4.57050285714293E-5
-0.68606238	1.10308030316883E-4	-5.74199999999999	3.41201124000005E-5	-0.7	1.14254874119048E-4	-5.838	7.97382857142864E-5
-0.66138806	9.68704797381818E-5	-5.717	-6.63589079999948E-6	-0.675	1.34999114380952E-4	-5.81300000000001	-2.59820228571429E-4
-0.63671373	1.29788134164156E-4	-5.692	4.63809060000003E-5	-0.65	1.26038395738095E-4	-5.78800000000001	1.00052457142857E-4
-0.61203941	1.7990325165039E-4	-5.66699999999999	-6.35999363999995E-5	-0.625	1.5413325452381E-4	-5.763	-1.87260914285715E-4
-0.58736509	1.90142869155117E-4	-5.642	6.03061667999997E-5	-0.6	1.95633237642857E-4	-5.73800000000001	9.43458285714273E-5
-0.56269077	2.33397106473662E-4	-5.61699999999999	-6.75090899999994E-5	-0.575	1.93768218547619E-4	-5.713	-1.62599542857142E-4
-0.53801644	2.97291525199792E-4	-5.59199999999999	-5.50768679999995E-5	-0.55	2.00562521238095E-4	-5.688	1.67811428571424E-5
-0.51334212	3.0131157933974E-4	-5.567	-4.07662595999996E-5	-0.525	2.05255247371429E-4	-5.66300000000001	-8.89913142857157E-5
-0.4886678	2.7943070858026E-4	-5.54199999999999	2.91574800000048E-6	-0.5	1.77895806733333E-4	-5.638	-1.7216457142857E-5
-0.46399348	2.84057756862545E-4	-5.517	9.16687728000003E-5	-0.475	1.48464857252381E-4	-5.61300000000001	-2.319942857143E-5
-0.43931916	2.88483287961662E-4	-5.49199999999999	-5.06080079999994E-5	-0.45	1.26150854814286E-4	-5.588	2.81869714285713E-5
-0.41464483	2.96648145336312E-4	-5.46699999999999	5.8256352000001E-5	-0.425	1.3747787292381E-4	-5.563	-2.27760000000091E-6
-0.38997051	3.72480771068571E-4	-5.442	-3.48395256000005E-5	-0.4	1.78599070780952E-4	-5.53800000000001	-7.74800000000012E-5
-0.36529619	4.31176694954805E-4	-5.41699999999999	5.28937200000011E-5	-0.375	2.16633774290476E-4	-5.513	-1.67181485714286E-4
-0.34062187	3.6084213518026E-4	-5.392	1.972628064E-4	-0.35	2.35975357488095E-4	-5.48800000000001	1.88318742857142E-4
-0.31594754	2.73721261902545E-4	-5.36699999999999	1.849565916E-4	-0.325	2.80547206238095E-4	-5.463	-1.60584914285715E-4
-0.29127322	2.48110533076987E-4	-5.34199999999999	1.374548076E-4	-0.3	2.69193029678571E-4	-5.438	8.26235428571429E-5
-0.2665989	2.65621133655273E-4	-5.317	8.31281220000007E-5	-0.275	2.39493052595238E-4	-5.41300000000001	-1.02500914285716E-4
-0.24192458	3.28434948433247E-4	-5.29199999999999	-1.05954472799999E-4	-0.25	2.46590499964286E-4	-5.388	-1.20506285714297E-5
-0.21725026	4.6957213732987E-4	-5.26699999999999	-5.53596515999994E-5	-0.225	3.16324199714286E-4	-5.363	4.72412571428573E-5
-0.19257593	6.74758023724675E-4	-5.24199999999999	-3.10607748000006E-5	-0.2	4.37148199714286E-4	-5.338	-5.67275428571433E-5
-0.16790161	8.20886918368831E-4	-5.21699999999999	-1.40659199999673E-7	-0.175	6.29245662833333E-4	-5.313	8.52948571428454E-6
-0.143227289	9.6488194761974E-4	-5.19199999999998	6.91134840000064E-6	-0.15	9.54760304666667E-4	-5.28799999999999	7.29872E-5
-0.118552967	0.00114945739532571	-5.16699999999999	7.07237388000001E-5	-0.125	0.0013959512377381	-5.263	-1.95103999999999E-5
-0.093878644	0.00134048201654338	-5.14199999999999	1.2633687E-4	-0.1	0.00186692646119048	-5.238	1.59580571428557E-5
-0.069204322	0.00148281486689455	-5.11700000000001	5.40409716000009E-5	-0.075	0.00238378295833333	-5.21300000000002	-1.05249485714286E-4
-0.04453	0.00166744840274805	-5.09199999999999	1.692027612E-4	-0.05	0.0028827722052381	-5.188	2.42914285714286E-5
-0.019855678	0.00179556742581818	-5.06699999999998	1.011749904E-4	-0.025	0.00318435254761905	-5.16299999999999	-8.28107428571436E-5
0.004818644	0.00183765343128312	-5.04200000000001	7.94695175999998E-5	0	0.00322189427214286	-5.13800000000002	-7.37850285714288E-5
