#time (ps)	MgCl2 / 4M	time (ps)	MgCl2 / 3M	time (ps)	MgCl2 / 2M	time (ps)	MgCl2 / 1M
-4.875	-1.6593535E-4	-9.7824	-1.79305165048544E-4	-9.896	-3.39198900717599E-5	-9.954	1.41899976E-4
-4.85	8.008620504E-5	-9.75739999999999	-2.05455844660194E-4	-9.87099999999999	-1.9576681803756E-4	-9.929	1.57903488E-4
-4.825	3.64824437428572E-5	-9.7324	-7.41425242718445E-6	-9.846	-4.42010217448802E-5	-9.90400000000001	1.2965394E-4
-4.8	4.37360227142857E-5	-9.70739999999999	-1.38213786407767E-4	-9.821	4.15375859883601E-5	-9.879	-1.22326116E-4
-4.775	-1.63375734285714E-6	-9.6824	5.96726213592236E-5	-9.796	-2.54209192776E-5	-9.85400000000001	-3.26187156E-4
-4.75	-3.29144419714286E-5	-9.6574	2.49092038834949E-5	-9.771	4.83745140370798E-5	-9.829	-6.98624760000001E-5
-4.725	-5.77786109142857E-5	-9.63239999999999	5.80956116504855E-5	-9.74599999999999	7.71673209199199E-5	-9.804	-1.1955174E-4
-4.7	-2.52099201142857E-5	-9.6074	-6.07578640776697E-5	-9.721	-4.55958629280003E-7	-9.77900000000001	-1.16522435999999E-4
-4.675	1.63779708571429E-5	-9.58239999999999	8.03603883495148E-5	-9.696	-1.2604682139588E-4	-9.754	7.53732599999999E-5
-4.65	8.84514285714286E-6	-9.55739999999999	-6.42337864077666E-6	-9.67099999999999	-9.975075571692E-5	-9.72899999999999	2.11904832E-4
-4.625	3.30714011428572E-5	-9.5324	1.21850213592233E-4	-9.646	1.4351297856588E-4	-9.704	3.43935839999999E-5
-4.6	4.71544937142857E-5	-9.50739999999999	2.77339805825233E-6	-9.62099999999999	-1.75066051129202E-5	-9.679	-1.70164439999996E-5
-4.575	2.36861947142857E-5	-9.48239999999998	-4.70638834951458E-5	-9.59599999999999	-7.54574760601202E-5	-9.65399999999999	-1.47125999999997E-5
-4.55	-1.52650600571429E-5	-9.45739999999999	7.57405048543689E-5	-9.571	9.34506821833202E-5	-9.629	-5.05855799999995E-5
-4.525	2.63739662571429E-5	-9.43239999999999	-5.0212660194175E-5	-9.54599999999999	3.51259741879197E-5	-9.60399999999999	-8.61019319999994E-5
-4.5	6.67035765714284E-6	-9.4074	1.53821359223301E-5	-9.521	-9.102993408432E-5	-9.579	3.940536E-5
-4.475	-4.64348492857143E-5	-9.38239999999999	-6.13230291262133E-5	-9.49599999999999	-5.84117323574401E-5	-9.554	9.87168000000253E-7
-4.45	-7.624593E-5	-9.35739999999998	2.44887378640782E-5	-9.47099999999999	6.05113483035601E-5	-9.52899999999999	-4.19939640000001E-5
-4.425	-4.06352122857143E-5	-9.33239999999999	4.34149514563107E-5	-9.446	1.5509824997436E-4	-9.504	-1.11978479999996E-5
-4.4	-1.10107765714286E-5	-9.30739999999999	-1.2950563106796E-5	-9.42099999999999	1.56080031861599E-5	-9.47899999999999	1.21417596E-4
-4.375	-1.31347325714286E-5	-9.28240000000001	2.36918446601944E-5	-9.39600000000001	-1.789024772304E-5	-9.45400000000002	1.42949520000001E-5
-4.35	2.7920651E-5	-9.25739999999999	1.57113786407767E-4	-9.37099999999999	4.72333917686398E-5	-9.429	5.17530960000001E-5
-4.325	5.02935522857143E-5	-9.23239999999998	7.98853980582526E-5	-9.34599999999999	3.462098774904E-5	-9.40399999999999	-1.3650174E-4
-4.3	2.68744186285714E-5	-9.20740000000001	4.94702912621359E-5	-9.32100000000001	6.393961788984E-5	-9.37900000000001	1.87453440000005E-5
-4.275	-3.95162374514286E-5	-9.18239999999999	4.56053592233012E-5	-9.29599999999999	3.404491098624E-5	-9.35399999999999	-3.0946632E-5
-4.25	-2.68600358114286E-5	-9.15739999999998	1.18218058252428E-4	-9.27099999999998	1.0836126477792E-4	-9.32899999999999	3.71313480000002E-5
-4.225	-4.42109017371428E-5	-9.1324	5.80368932038835E-5	-9.24600000000001	8.172568151748E-5	-9.30400000000001	1.48522680000002E-5
-4.2	-2.84483616571428E-5	-9.10739999999998	-9.59522330097064E-6	-9.22099999999999	8.03712882772798E-5	-9.27899999999999	1.29818016E-4
