#time (ps)	MgSO4 /1M	time (ps)	MgSO4 /2M
19.725	2.0107624742268E-5	11.1064425770308	1.17058735395189E-5
19.7	2.94383271477663E-5	11.0924369747899	-7.28606391752577E-6
19.675	-3.35361257731959E-5	11.078431372549	2.81721718213058E-5
19.65	1.50756749140893E-5	11.0644257703081	-9.92857525773196E-5
19.625	-5.0227987628866E-5	11.0504201680672	-3.66531340206186E-6
19.6	-8.50654226804124E-5	11.0364145658263	-5.79333402061856E-6
19.575	-1.64508714776632E-5	11.0224089635854	8.54824604810997E-5
19.55	6.20750164948454E-5	11.0084033613445	2.30770171821306E-6
19.525	-1.70650701030928E-5	10.9943977591036	1.72779635738832E-5
19.5	5.34252714776632E-5	10.9803921568627	1.35588790378007E-5
19.475	4.47195457044674E-5	10.9663865546218	1.20155257731959E-4
19.45	8.70069484536083E-5	10.952380952381	1.49088405498282E-4
19.425	1.48338694158076E-5	10.9383753501401	-4.87028467353952E-5
19.4	1.20650474226804E-4	10.9243697478992	7.74164467353952E-6
19.375	7.75083298969072E-5	10.9103641456583	4.63174020618557E-5
19.35	-4.16118274914089E-5	10.8963585434174	-3.35590714776632E-5
19.325	-5.2186969072165E-5	10.8823529411765	2.33115340206186E-5
19.3	-1.20421903780069E-4	10.8683473389356	1.32859800687285E-4
19.275	8.16721718213058E-6	10.8543417366947	3.63757704467354E-5
19.25	2.06561580756014E-6	10.8403361344538	-1.12515821305842E-4
19.225	-1.43568632302406E-4	10.8263305322129	-1.24988268041237E-5
19.2	3.30548563573883E-5	10.812324929972	-1.1398904467354E-4
19.175	-3.52790467353952E-5	10.7983193277311	-9.92380274914089E-5
19.15	-9.58370103092783E-5	10.7843137254902	-5.68959470790378E-5
19.125	-5.90012027491409E-6	10.7703081232493	-2.70789505154639E-5
19.1	4.5388658419244E-5	10.7563025210084	-9.27629828178694E-5
19.075	-3.08744556701031E-5	10.7422969187675	-5.63143718213058E-5
19.05	-3.95643725085911E-5	10.7282913165266	-5.74568240549828E-5
19.025	2.68068804123711E-5	10.7142857142857	-6.35223024054983E-5
19	4.13114639175258E-5	10.7002801120448	-1.51701182130584E-4
18.975	-1.67523367697595E-5	10.6862745098039	-7.17852164948454E-5
18.95	-3.75359725085911E-6	10.672268907563	3.562284604811E-5
18.925	1.20918680412371E-4	10.6582633053221	-6.49142577319588E-6
18.9	-5.55155608247423E-5	10.6442577030812	7.25200756013746E-5
18.875	1.06204824742268E-4	10.6302521008403	-2.81564027491409E-5
18.85	7.25898281786942E-5	10.6162464985994	-1.16784762886598E-4
18.825	-9.58004329896907E-5	10.6022408963585	1.94672817869416E-5
18.8	5.32395491408935E-5	10.5882352941176	-2.27569580756014E-5
18.775	-4.23981367697594E-5	10.5742296918768	5.93163979381443E-5
18.75	1.15729127147766E-4	10.5602240896359	4.24557298969072E-5
18.725	-7.06068316151203E-5	10.546218487395	-8.24228041237113E-5
18.7	3.30001573883161E-5	10.5322128851541	1.0095295532646E-4
18.675	4.11700329896907E-5	10.5182072829132	8.28558625429553E-5
18.65	-1.54600914089347E-5	10.5042016806723	-1.09463848797251E-5
18.625	3.26094426116839E-5	10.4901960784314	-4.63706233676976E-5
18.6	-1.04385498281787E-5	10.4761904761905	-6.37735580756014E-5
18.575	-1.33435896907216E-5	10.4621848739496	1.01215257731959E-4
18.55	-6.0603264604811E-5	10.4481792717087	2.21367237113402E-5
18.525	1.10483993127148E-5	10.4341736694678	8.82231408934708E-5
18.5	-5.90703848797251E-5	10.4201680672269	8.34185085910653E-6
18.475	-1.19721127147766E-4	10.406162464986	5.58516336769759E-5
18.45	-9.89718694158076E-5	10.3921568627451	2.8561412371134E-5
18.425	1.01405567010309E-4	10.3781512605042	1.81282378006873E-5
18.4	-9.8692295532646E-6	10.3641456582633	9.59871615120275E-5
18.375	1.83061470790378E-5	10.3501400560224	4.14557037800687E-5
18.35	-2.6089612371134E-5	10.3361344537815	-6.17224900343643E-5
18.325	1.26012268041237E-5	10.3221288515406	-9.46456975945017E-5
18.3	-4.04557003436426E-5	10.3081232492997	-1.40514611683849E-4
18.275	1.55615986254296E-5	10.2941176470588	-9.219864604811E-5
18.25	7.02545017182131E-5	10.2801120448179	-1.03218536082474E-5
18.225	1.74656151202749E-5	10.266106442577	5.35253821305842E-5
18.2	-7.94414845360825E-5	10.2521008403361	7.03203848797251E-5
18.175	2.63854371134021E-5	10.2380952380952	1.07035663230241E-4
18.15	-4.79182302405498E-5	10.2240896358543	4.56400206185567E-6
18.125	6.33595546391752E-5	10.2100840336134	-2.58595505154639E-5
18.1	3.15348384879725E-6	10.1960784313725	-9.73456426116838E-5
18.075	-7.91838556701031E-5	10.1820728291317	-2.44791656357388E-5
18.05	-9.55679312714777E-5	10.1680672268908	-1.20621615120275E-4
18.025	-7.48846529209622E-5	10.1540616246499	-2.02499800687285E-5
18	1.15314089347079E-4	10.140056022409	-1.30209615120275E-4
17.975	-2.39888845360825E-5	10.1260504201681	5.30678611683849E-5
17.95	6.57748068728522E-5	10.1120448179272	-1.11239243986254E-6
17.925	-6.49174501718213E-6	10.0980392156863	-1.28018419243986E-4
17.9	-7.03500481099656E-5	10.0840336134454	9.31161030927835E-5
17.875	-3.288944604811E-5	10.0700280112045	2.04506261168385E-5
17.85	3.66068907216495E-5	10.0560224089636	-6.3618975257732E-5
17.825	8.86042611683849E-5	10.0420168067227	-9.05764673539519E-6
17.8	3.22842886597938E-6	10.0280112044818	-8.72378969072165E-5
17.775	-6.17047862542955E-5	10.0140056022409	3.83407766323024E-6
17.75	-8.38764879725086E-5	10	-2.77441127147766E-5
17.725	3.55222474226804E-5	9.9859943977591	3.42408591065292E-6
17.7	3.02151560137457E-5	9.97198879551821	-2.75341738831615E-5
17.675	-2.86486474226804E-5	9.95798319327731	-5.02786886597938E-5
17.65	-1.02602481099656E-4	9.94397759103641	-5.92060213058419E-5
17.625	-7.1207175257732E-5	9.92997198879552	-1.51629079037801E-5
17.6	-1.92208041237113E-5	9.91596638655462	-7.32641237113402E-5
17.575	-1.66173271477663E-4	9.90196078431373	-4.08639862542955E-7
17.55	9.64832096219931E-5	9.88795518207283	-1.48664494845361E-4
17.525	-5.08396982817869E-5	9.87394957983193	-1.91042E-4
17.5	-1.96472563573883E-4	9.85994397759104	-9.04160687285223E-5
17.475	-6.15349945017182E-5	9.84593837535014	-7.05887628865979E-5
17.45	-1.21912199312715E-4	9.83193277310924	-9.03999450171821E-5
17.425	6.43456536082474E-5	9.81792717086835	8.63492439862543E-6
17.4	1.13490103092784E-4	9.80392156862745	-1.29182446735395E-4
17.375	-5.78527408934708E-5	9.78991596638656	-7.58125498281787E-6
17.35	1.75451848797251E-4	9.77591036414566	-2.46996515463918E-5
17.325	1.89526879725086E-4	9.76190476190476	8.25221580756014E-5
17.3	1.52262391752577E-4	9.74789915966386	9.86917319587629E-5
17.275	1.93203402061856E-4	9.73389355742297	8.21925773195876E-5
17.25	2.19226199312715E-4	9.71988795518207	1.29064556701031E-4
17.225	2.32653807560137E-4	9.70588235294118	2.83871243986254E-4
17.2	2.36908219931271E-4	9.69187675070028	1.63300611683849E-4
17.175	2.40084274914089E-4	9.67787114845938	2.70081869415808E-4
17.15	1.95863085910653E-4	9.66386554621849	2.6733323024055E-4
17.125	7.89683642611684E-5	9.64985994397759	1.8093716838488E-4
17.1	-6.50542E-5	9.63585434173669	2.37728735395189E-4
17.075	-5.57186865979381E-5	9.6218487394958	1.15630268041237E-4
17.05	-1.0181341580756E-4	9.6078431372549	2.53950343642612E-5
17.025	-2.23437347079038E-4	9.59383753501401	-1.50089683848797E-4
17	-2.10368508591065E-4	9.57983193277311	-4.81317965635739E-5
16.975	-2.05574570446735E-4	9.56582633053221	-1.78176652920962E-4
16.95	-1.32157965635739E-4	9.55182072829132	-1.96274432989691E-4
16.925	-2.60372274914089E-4	9.53781512605042	-9.65412852233677E-5
16.9	-3.36738790378007E-5	9.52380952380952	-1.11537347079038E-4
16.875	-1.11561731958763E-4	9.50980392156863	-2.10512103092783E-4
16.85	4.00539243986254E-6	9.49579831932773	-2.19328096219931E-4
16.825	-5.75050378006873E-6	9.48179271708683	-1.94862989690722E-4
16.8	-1.62479786941581E-5	9.46778711484594	-9.89779518900343E-5
16.775	9.32490378006873E-5	9.45378151260504	-1.39468859106529E-4
16.75	7.51033058419244E-6	9.43977591036415	-7.22360549828179E-5
16.725	2.58637134020619E-5	9.42577030812325	1.05071663230241E-4
16.7	-1.98798144329897E-5	9.41176470588235	-2.75676948453608E-5
16.675	-8.0891381443299E-5	9.39775910364146	-1.10659979381443E-4
16.65	-8.79435395189003E-6	9.38375350140056	-7.78869621993127E-5
16.625	-1.03007298969072E-4	9.36974789915966	-8.23698006872852E-6
16.6	-7.84023711340206E-5	9.35574229691877	1.13291594501718E-5
16.575	3.49053058419244E-6	9.34173669467787	-6.14800343642612E-6
16.55	-1.77222756013746E-4	9.32773109243697	-1.15923443298969E-4
16.525	-5.61257305841924E-5	9.31372549019608	1.83423484536082E-5
16.5	1.09706096219931E-5	9.29971988795518	-4.97451223367698E-5
16.475	-6.8326870790378E-5	9.28571428571428	-9.65934158075601E-5
16.45	4.1515175257732E-5	9.27170868347339	-7.71076907216495E-5
16.425	1.66603085910653E-5	9.25770308123249	-3.85381161512028E-5
16.4	1.3561987628866E-4	9.2436974789916	-3.1761030927835E-6
16.375	6.46900962199313E-5	9.2296918767507	-2.05652900343643E-5
16.35	-1.46128804123711E-5	9.2156862745098	8.9160295532646E-5
16.325	6.68414432989691E-6	9.20168067226891	8.40040962199313E-5
16.3	3.77151910652921E-5	9.18767507002801	-1.02002268041237E-4
16.275	1.17487127147766E-4	9.17366946778711	2.09092783505155E-8
16.25	1.46033958762887E-5	9.15966386554622	2.59409993127148E-5
16.225	-9.33483780068728E-5	9.14565826330532	-6.85677766323024E-5
16.2	-7.0264412371134E-5	9.13165266106442	-4.36796082474227E-6
16.175	-1.16822371134021E-4	9.11764705882353	1.01687525773196E-4
16.15	-3.2227064604811E-5	9.10364145658263	6.77120817869416E-5
16.125	9.04934432989691E-6	9.08963585434174	8.90021099656357E-6
16.1	2.331475395189E-5	9.07563025210084	6.05914364261168E-5
16.075	6.41464872852234E-5	9.06162464985994	6.23523642611684E-6
16.05	-1.17647402061856E-5	9.04761904761905	-2.8115464604811E-5
