(ps) MgCl2
-9.954 1.41899976E-4
-9.929 1.57903488E-4
-9.90400000000001 1.2965394E-4
-9.879 -1.22326116E-4
-9.85400000000001 -3.26187156E-4
-9.829 -6.98624760000001E-5
-9.804 -1.1955174E-4
-9.77900000000001 -1.16522435999999E-4
-9.754 7.53732599999999E-5
-9.72899999999999 2.11904832E-4
-9.704 3.43935839999999E-5
-9.679 -1.70164439999996E-5
-9.65399999999999 -1.47125999999997E-5
-9.629 -5.05855799999995E-5
-9.60399999999999 -8.61019319999994E-5
-9.579 3.940536E-5
-9.554 9.87168000000253E-7
-9.52899999999999 -4.19939640000001E-5
-9.504 -1.11978479999996E-5
-9.47899999999999 1.21417596E-4
-9.45400000000002 1.42949520000001E-5
-9.429 5.17530960000001E-5
-9.40399999999999 -1.3650174E-4
-9.37900000000001 1.87453440000005E-5
-9.35399999999999 -3.0946632E-5
-9.32899999999999 3.71313480000002E-5
-9.30400000000001 1.48522680000002E-5
-9.27899999999999 1.29818016E-4
-9.25399999999999 -3.10754519999999E-5
-9.22900000000001 -6.4450679999996E-6
-9.20399999999999 8.34726480000002E-5
-9.17900000000001 2.191296E-4
-9.15400000000001 1.19723952E-4
-9.12899999999999 -4.13878319999998E-5
-9.10400000000001 -1.46692079999996E-5
-9.079 3.81320760000004E-5
-9.05400000000001 -1.1504304E-4
-9.02900000000001 -5.79011999999996E-5
-9.004 6.05074320000003E-5
-8.97900000000001 -9.38596079999997E-5
-8.954 -8.31824639999995E-5
-8.929 -2.28106319999995E-5
-8.90400000000001 -1.11540492E-4
-8.879 5.41233840000004E-5
-8.85399999999999 5.46237480000004E-5
-8.829 -1.28403708E-4
-8.804 1.04603196E-4
-8.77900000000001 -5.89480319999996E-5
-8.754 -1.43612604E-4
-8.72899999999999 -5.54604E-6
-8.704 -1.1987718E-4
-8.679 6.89146320000004E-5
-8.65400000000001 -7.37080919999995E-5
-8.629 -2.2951656E-5
-8.60399999999999 7.2072756E-5
-8.579 4.4901228E-5
-8.554 1.55899320000001E-5
-8.52899999999999 -2.67281159999999E-5
-8.504 -3.406272E-5
-8.47899999999999 3.66581040000006E-5
-8.45399999999999 -1.1096148E-4
-8.429 6.6267720000004E-6
-8.40399999999999 -6.39720119999997E-5
-8.37900000000001 5.27823E-5
-8.35399999999999 -3.05777999999948E-6
-8.32899999999999 -6.39665879999996E-5
-8.30400000000001 -3.84371759999998E-5
-8.27899999999999 1.3597968E-4
-8.25400000000001 -7.55847960000003E-5
-8.22900000000001 -1.79204891999999E-4
-8.20399999999999 -1.23177684E-4
-8.17900000000001 -1.26836172E-4
-8.15400000000001 -7.3817928E-5
-8.12899999999999 1.41918960000003E-5
-8.10400000000001 8.54090160000001E-5
-8.079 6.69226680000003E-5
-8.05399999999998 7.73177640000002E-5
-8.02900000000001 -1.2554526E-4
-8.004 -9.2803284E-5
-7.97900000000001 -1.36370208E-4
-7.954 -5.79378119999997E-5
-7.929 -3.38823719999997E-5
-7.90400000000001 -1.50071232E-4
-7.879 -5.00296199999993E-5
-7.85400000000001 -1.27808424E-4
-7.829 -2.68149000000001E-5
-7.804 -7.77652439999993E-5
-7.77900000000001 -6.4883244E-5
-7.754 1.2452148E-4
-7.72899999999999 -1.07435879999994E-5
-7.704 1.45314384E-4
-7.679 8.08026840000001E-5
-7.65399999999999 1.13155488E-4
-7.629 1.81839600000026E-6
-7.60399999999999 2.03183040000006E-5
-7.579 8.33980680000007E-5
-7.554 -9.70828199999997E-5
-7.52899999999999 -1.080054E-5
-7.504 -1.00221959999998E-5
-7.47899999999999 2.20133039999999E-5
-7.45400000000002 -3.27040080000001E-5
-7.429 5.73018480000004E-5
-7.40399999999999 1.44853344E-4
-7.379 -8.20868159999993E-5
-7.35399999999999 4.94180640000001E-5
-7.32899999999999 1.26704640000001E-5
-7.30400000000001 -3.28396079999993E-5
-7.27899999999999 9.45362519999999E-5
-7.25399999999999 -2.56094160000001E-5
-7.22899999999999 -9.51627239999995E-5
-7.20399999999999 -1.29510204E-4
-7.17900000000001 -6.07542239999998E-5
-7.15400000000001 -1.25603567999999E-4
-7.12900000000001 -5.90917679999998E-5
-7.10400000000001 -1.44858768E-4
-7.07899999999999 -1.29065436E-4
-7.05400000000001 -1.37337036E-4
-7.02900000000001 -4.4612399999982E-7
-7.004 5.54237880000004E-5
-6.97900000000001 4.97896080000003E-5
-6.954 -7.35087599999998E-5
-6.92899999999998 5.1270360000006E-6
-6.90400000000001 -1.13040228E-4
-6.879 -1.42529159999999E-5
-6.85400000000001 -7.79618639999999E-5
-6.829 -1.34907084E-4
-6.804 -3.70825320000001E-5
-6.77900000000001 4.14122400000022E-6
-6.754 1.78699104E-4
-6.72900000000001 -6.65429879999996E-5
-6.704 3.11730840000002E-5
-6.679 7.45908480000001E-5
-6.65400000000001 -1.31880492E-4
-6.629 -1.93560864E-4
-6.60399999999999 -3.26259024E-4
-6.579 -2.66063472E-4
-6.554 -1.36899047999999E-4
-6.52899999999999 -1.58287236E-4
-6.504 -1.46538852E-4
-6.47899999999999 -1.26997536E-4
-6.454 6.87166559999999E-5
-6.429 6.17630880000004E-5
-6.40399999999999 4.64945280000005E-5
-6.379 -7.26490560000001E-5
-6.35399999999999 1.98762479999998E-5
-6.32900000000002 2.86455000000004E-5
-6.304 -1.4412924E-4
-6.27899999999999 -2.41788359999998E-5
-6.25400000000001 5.80761239999998E-5
-6.22899999999999 6.7122000000013E-7
-6.20399999999999 9.8310000000063E-7
-6.17900000000001 2.38900080000007E-5
-6.15399999999999 6.72847200000003E-5
-6.12899999999999 -3.90283919999997E-5
-6.10400000000001 -1.47125999999997E-5
-6.07899999999999 8.10779519999999E-5
-6.05400000000001 5.57980440000004E-5
-6.02900000000001 -4.26136559999997E-5
-6.00399999999999 -8.54537640000001E-5
-5.97900000000001 -2.42239908E-4
-5.954 -1.14785399999999E-4
-5.92900000000001 -2.30003364E-4
-5.90400000000001 -3.0058452E-5
-5.879 3.56587320000003E-5
-5.85400000000001 2.71511880000007E-5
-5.829 9.5240016E-5
-5.804 9.75384360000005E-5
-5.77900000000001 2.84258280000002E-5
-5.754 1.4023752E-4
-5.72899999999999 6.71830199999997E-5
-5.704 -2.14831080000003E-5
-5.679 1.07749116E-4
-5.65400000000001 1.33612104E-4
-5.629 6.82000200000001E-5
-5.60399999999999 2.78942760000001E-5
-5.579 -8.32448400000002E-5
-5.554 -5.96111159999993E-5
-5.52900000000001 -2.06396759999996E-5
-5.504 3.05967840000001E-5
-5.47899999999999 -1.31534712E-4
-5.454 -3.59123039999997E-5
-5.429 -4.14257999999998E-5
-5.40399999999999 3.54322800000001E-5
-5.379 -1.06310399999968E-6
-5.35399999999999 7.60458359999999E-5
-5.32899999999999 5.76055920000005E-5
-5.304 -9.05387639999993E-5
-5.27899999999999 -6.38011559999997E-5
-5.25400000000001 -1.84131239999996E-5
-5.22899999999999 2.84041320000004E-5
-5.20399999999999 7.65367080000003E-5
-5.17900000000001 3.51800640000005E-5
-5.15399999999999 2.25786204000001E-4
-5.12900000000001 7.52118960000001E-5
-5.10400000000001 -4.98221520000003E-5
-5.07899999999999 -1.26884988E-4
-5.05400000000001 -2.52758399999998E-5
-5.02900000000001 2.58507840000001E-5
-5.00399999999999 -3.48315719999999E-5
-4.97900000000001 4.41594960000005E-5
-4.954 -5.0713044E-5
-4.92899999999998 -2.65125119999999E-5
-4.90400000000001 8.06603040000003E-5
-4.879 -8.54795280000001E-5
-4.85400000000001 -2.34194759999996E-5
-4.829 1.31748960000004E-5
-4.804 2.55402600000006E-5
-4.77900000000001 7.44050760000002E-5
-4.754 6.65728200000004E-5
-4.72900000000001 -2.26791E-5
-4.704 -5.97860400000001E-5
-4.679 1.09071216E-4
-4.65400000000001 -7.82371319999997E-5
-4.629 9.64427880000002E-5
-4.60399999999999 3.09045959999998E-5
-4.579 -5.01462359999996E-5
-4.554 7.33731600000041E-6
-4.52899999999999 -1.43654640000001E-5
-4.504 1.44385524000001E-4
-4.47899999999999 6.95343240000006E-5
-4.454 -8.99800919999999E-5
-4.429 -3.75951000000002E-5
-4.40399999999999 -1.89555239999999E-5
-4.379 1.48872528000001E-4
-4.35399999999999 2.57504400000011E-6
-4.32900000000002 -1.35871199999993E-6
-4.304 -1.8917556E-4
-4.27899999999999 -1.71218052E-4
-4.254 5.97182399999999E-5
-4.22899999999999 7.13269560000003E-5
-4.20399999999999 -2.39334000000002E-5
-4.17900000000001 -6.61755120000002E-5
-4.15399999999999 8.47432200000007E-5
-4.12899999999999 4.8048504E-5
-4.10399999999999 2.09946768000001E-4
-4.07899999999999 -3.39949199999998E-5
-4.05400000000001 -9.40670759999993E-5
-4.02900000000001 1.57404480000003E-5
-4.00400000000001 -1.30496016E-4
-3.97900000000001 7.34002800000016E-6
-3.95399999999999 -6.1741392E-5
-3.92900000000001 -7.57610759999998E-5
-3.90400000000001 -5.74998239999997E-5
-3.879 8.01355320000002E-5
-3.85400000000001 1.45444560000005E-5
-3.829 -3.61577399999993E-5
-3.80399999999998 1.20896892E-4
-3.77900000000001 -7.41704879999996E-5
-3.754 9.47572799999983E-6
-3.72900000000001 -7.99972199999995E-5
-3.704 9.59912400000015E-6
-3.679 -4.39343999999996E-5
-3.65400000000001 -8.40855599999934E-6
-3.629 -1.27301279999999E-5
-3.60400000000001 -1.34163995999999E-4
-3.579 1.15382040000004E-5
-3.554 -9.56535959999999E-5
-3.52900000000001 -4.81257959999999E-5
-3.504 1.49539680000002E-5
-3.479 -8.98078799999994E-5
-3.454 -8.15525519999994E-5
-3.429 3.63204600000001E-5
-3.40399999999999 9.91480080000001E-5
-3.379 8.37085920000007E-5
-3.354 -6.52507199999983E-6
-3.329 1.76578320000002E-5
-3.304 1.03093968E-4
-3.27899999999999 9.67967040000004E-5
-3.254 1.23549228E-4
-3.229 1.17280440000004E-5
-3.20400000000002 9.09686160000001E-5
-3.179 2.83146360000005E-5
-3.15399999999999 -1.12661904E-4
-3.12900000000002 -1.63130868E-4
-3.104 -4.19600639999997E-5
-3.07899999999999 1.49363400000001E-5
-3.05400000000001 -3.79435919999997E-5
-3.02899999999999 -9.85703519999995E-5
-3.00399999999999 4.86424320000002E-5
-2.97900000000001 -3.54756720000002E-5
-2.95399999999999 2.67281160000005E-5
-2.92900000000001 -7.01635079999999E-5
-2.90400000000001 -1.3856286E-4
-2.87899999999999 -1.74449399999999E-5
-2.85400000000001 2.93492639999999E-5
-2.829 4.35547200000036E-6
-2.80400000000001 1.70926512E-4
-2.77900000000001 4.49920800000057E-6
-2.754 1.06595160000007E-5
-2.72900000000001 -4.16278439999999E-5
-2.704 -5.50400399999977E-6
-2.679 6.61389E-5
-2.65400000000001 9.20520600000002E-5
-2.629 1.23976368E-4
-2.604 1.1250732E-5
-2.579 -1.00750799999954E-6
-2.554 1.4528184E-4
-2.52900000000001 3.04964400000024E-6
-2.504 4.08481439999998E-5
-2.479 1.32048636E-4
-2.454 -4.0612199999994E-6
-2.429 1.46705640000006E-5
-2.40400000000001 7.49488320000004E-5
-2.379 -7.50152760000001E-5
-2.354 3.02523600000015E-6
-2.329 3.71923680000005E-5
-2.304 3.52085400000003E-5
-2.27899999999999 1.71487896E-4
