 ## pure water -0.00269

1.1 -0.00008  1.2 -0.002 1.3 -0.0032 1.5 -0.0032 1.4 -0.0029 1.6 -0.005
2.1 -0.00015  2.2 -0.0023 2.3 -0.00273 2.5 -0.00299 2.4 -0.0029 2.6 -0.0035
3.1 -0.0002  3.2 -0.00219 3.3 -0.00271 3.5 -0.003 3.4 -0.0028 3.6 -0.00272
4.1 -0.0006  4.2 -0.002 4.3 -0.006 4.5 -0.005 4.4 -0.0028 4.6 -0.005

5.1 -0.0006  5.2 -0.00268 5.3 -0.0058 5.5 -0.0029 5.4 -0.0071 5.6 -0.0075

##6.1 -0.00006  6.2 -0.00166 6.3 -0.00166 6.5 -0.0029 6.4 -0.00417 6.6 -0.005
